,Unnamed: 0,course_id,urls,title,date_created,num_subscribers,is_paid,price,avg_rating,num_ratings,content_duration
425,425,5061952,/course/working-with-git-and-repos-in-azure-devops/,Working with Git and Repos in Azure DevOps | AZ-400,2023-01-05,23,True,84.99,5.0,7,6.0
426,426,1659360,/course/azure-automation-and-log-analytics/,Azure - Automation and Log Analytics,2018-04-23,111,True,39.99,3.85,18,1.0
427,427,1561724,/course/azurecourse/,The Complete Azure Web Developer Course Learn The Essentials,2018-02-19,24810,True,84.99,3.2,124,2.0
428,428,2345986,/course/cloud-migration-on-microsoft-azure/,Cloud Migration on Microsoft AZURE,2019-04-30,2468,True,19.99,3.9,64,1.0
429,429,3849728,/course/az-900-azure-fundamentals-b/,Az-900 Azure Fundamentals,2021-02-15,10,True,19.99,4.6666665,3,415.0
430,430,4432496,/course/azure-databricks-build-data-engineering-and-aiml-pipeline/,Azure Databricks - Build data engineering and AI/ML pipeline,2021-12-06,102,True,29.99,2.65,17,3.5
431,431,3734526,/course/azure-active-directory-powershell-for-microsoft-office-365/,Azure Active Directory PowerShell for Microsoft Office 365,2020-12-29,8396,True,59.99,3.4,58,2.0
432,432,4986932,/course/terraform-for-azure-beginner-to-expert/,Terraform For Azure - Beginner to Expert,2022-11-20,44,True,19.99,4.375,4,3.5
433,433,4205418,/course/hands-on-sql-servermanagementstudiosql-queriesazurestudio/,"Hands-On SQL Server,ManagementStudio,SQL Queries,AzureStudio",2021-07-26,35360,True,84.99,3.8837209,259,2.0
434,434,4573586,/course/microsoft-azure-fundamentals-bootcamp-2022-complete-guide/,Microsoft Azure Fundamentals Bootcamp : 2022 Complete Guide,2022-02-28,126,True,19.99,4.4,20,9.0
435,435,1960062,/course/azure-automation-for-beginners/,Azure Automation for Beginners.,2018-10-11,652,True,49.99,3.8,17,1.5
436,436,1952928,/course/learning-terraform-on-microsoft-azure/,Learning Terraform on Microsoft Azure - Terraform v12 / v13,2018-10-07,7498,True,34.99,4.45,1599,7.5
437,437,4013764,/course/azure-data-platform-competency-pratice-exam/,Azure Data Platform Competency - Pratice Exam,2021-04-28,5,True,19.99,4.875,4,86.0
438,438,1589870,/course/microsoft-azure-introductory-course/,70-532 Microsoft Azure Certification: App Services Deep Dive,2018-03-10,4906,True,19.99,3.55,111,6.0
439,439,4393772,/course/microsoft-azure-data-fundamentals-dp-900-full-course-with-exam-qa/,Microsoft Azure Data Fundamentals [DP-900] Full Course,2021-11-12,159,True,29.99,4.05,12,5.5
440,440,4105890,/course/microsoft-certification-learning-azure-security-center/,Microsoft Cyber Security: Learning Azure Security Center,2021-06-07,456,True,84.99,3.6818182,42,4.5
441,441,2086224,/course/serverless-computing-with-azure-functions/,Serverless Computing with Azure Functions,2018-12-14,1210,True,109.99,3.4,121,10.0
442,442,4015546,/course/introduction-to-azure-active-directory-and-identity-concepts/,Azure Active Directory and Identity Concepts,2021-04-29,43,True,19.99,3.8333333,6,3.0
443,443,3414302,/course/microsoft-azure-administrator-practice-test/,[NEW] AZ-104 Microsoft Azure Administrator 400+Practice Test,2020-08-12,200,True,19.99,4.35,34,406.0
444,444,2569316,/course/microsoft-azure-storage-and-database/,Microsoft Azure: Storage and Database,2019-09-20,1590,True,19.99,3.45,32,4.0
445,445,3706066,/course/azure-devops-boards-git-and-github-tutorial-for-beginners/,"Azure DevOps Boards, Git and GitHub Tutorial for Beginners",2020-12-15,36,True,29.99,4.25,4,2.5
446,446,4843784,/course/practice-tests-dp900-microsoft-azure-data-fundamentals/,Practice Tests | DP-900 Microsoft Azure Data Fundamentals,2022-08-21,1050,True,84.99,4.2,25,118.0
447,447,446940,/course/azure-cloud-computing/,Cloud Computing for Beginners with Microsoft Azure,2015-03-13,2690,True,64.99,3.75,325,4.5
448,448,1630482,/course/microsoft-azure-service-fabric/,Microsoft Azure Service Fabric,2018-04-04,865,True,24.99,3.7,60,2.5
449,449,2316100,/course/azure-fundamental-az-900-complete-practice-exam/,AZ-900 Azure Certification:- 5 Complete Practice Exams,2019-04-10,461,True,19.99,2.8,122,270.0
450,450,2952516,/course/containers-and-kubernetes-on-azure/,Containers and Kubernetes on Azure,2020-04-03,5618,True,84.99,3.85,97,2.0
451,451,4927404,/course/az-900-microsoft-azure-fundamentals-hot/,AZ-900: Microsoft Azure Fundamentals,2022-10-13,3006,True,84.99,3.95,17,4.0
452,452,1607634,/course/microsoft-azure-70-533/,AZ-100 - Azure Admin - Configure and Manage Virtual Network,2018-03-20,3299,True,19.99,3.9,67,6.0
453,453,4479808,/course/how-to-create-azure-pipelines-agent-fully-automated/,Learn to Create Custom Azure DevOps Agent using Packer,2022-01-06,1023,True,49.99,4.875,4,3.0
454,454,4983878,/course/ai-102-microsoft-azure-ai-solution-exam-prep/,AI-102 Microsoft Azure AI Solution Exam prep,2022-11-18,659,True,19.99,4.75,18,46.0
455,455,2008814,/course/azure-stream-analytics-end-to-end-analytics-solutions/,Azure Stream Analytics - End-to-End Analytics Solutions!,2018-11-05,137,True,84.99,3.7,15,6.5
456,456,4929582,/course/microsoft-az-204-developer-associate/,AZ-204 : Microsoft Certified Azure Developer,2022-10-15,1639,True,29.99,4.318182,14,150.0
457,457,2172588,/course/silver-bullet-to-crack-az900-azure-fundamental-certification/,AZ-900 Azure Sure&Quick Success Complete Course-2 Full Exams,2019-01-24,1626,True,84.99,3.8,609,2.0
458,458,2733800,/course/learn-microsoft-azure-batch/,Learn Microsoft Azure Batch,2020-01-02,2009,True,29.99,3.5,18,37.0
